GRE Score,TOEFL Score,CGPA,University Rating,Chance of Admit 
337,118,9.65,4,0.92
324,107,8.87,4,0.76
316,104,8,3,0.72
322,110,8.67,3,0.8
314,103,8.21,2,0.65
330,115,9.34,5,0.9
321,109,8.2,3,0.75
308,101,7.9,2,0.68
302,102,8,1,0.5
323,108,8.6,3,0.45
325,106,8.4,3,0.52
327,111,9,4,0.84
328,112,9.1,4,0.78
307,109,8,3,0.62
311,104,8.2,3,0.61
314,105,8.3,3,0.54
317,107,8.7,3,0.66
319,106,8,3,0.65
318,110,8.8,3,0.63
303,102,8.5,3,0.62
312,107,7.9,3,0.64
325,114,8.4,4,0.7
328,116,9.5,5,0.94
334,119,9.7,5,0.95
336,119,9.8,5,0.97
340,120,9.6,5,0.94
322,109,8.8,5,0.76
298,98,7.5,2,0.44
295,93,7.2,1,0.46
310,99,7.3,2,0.54
300,97,8.1,2,0.65
327,103,8.3,3,0.74
338,118,9.4,4,0.91
340,114,9.6,5,0.9
331,112,9.8,5,0.94
320,110,9.2,5,0.88
299,106,8.4,2,0.64
300,105,7.8,1,0.58
304,105,7.5,1,0.52
307,108,7.7,2,0.48
308,110,8,3,0.46
316,105,8.2,2,0.49
313,107,8.5,2,0.53
332,117,9.1,4,0.87
326,113,9.4,5,0.91
322,110,9.1,5,0.88
329,114,9.3,5,0.86
339,119,9.7,5,0.89
321,110,8.85,3,0.82
327,111,8.4,4,0.78
313,98,8.3,3,0.76
312,100,7.9,2,0.56
334,116,8,4,0.78
324,112,8.1,4,0.72
322,110,8,3,0.7
320,103,7.7,3,0.64
316,102,7.4,3,0.64
298,99,7.6,2,0.46
300,99,6.8,1,0.36
311,104,8.3,2,0.42
309,100,8.1,2,0.48
307,101,8.2,3,0.47
304,105,8.2,2,0.54
315,107,8.5,2,0.56
325,111,8.7,3,0.52
325,112,8.92,4,0.55
327,114,9.02,3,0.61
316,107,8.64,2,0.57
318,109,9.22,3,0.68
328,115,9.16,4,0.78
332,118,9.64,5,0.94
336,112,9.76,5,0.96
321,111,9.45,5,0.93
314,108,9.04,4,0.84
314,106,8.9,3,0.74
329,114,8.56,2,0.72
327,112,8.72,3,0.74
301,99,8.22,2,0.64
296,95,7.54,2,0.44
294,93,7.36,1,0.46
312,105,8.02,3,0.5
340,120,9.5,4,0.96
320,110,9.22,5,0.92
322,115,9.36,5,0.92
340,115,9.45,5,0.94
319,103,8.66,4,0.76
315,106,8.42,3,0.72
317,107,8.28,2,0.66
314,108,8.14,3,0.64
316,109,8.76,4,0.74
318,106,7.92,2,0.64
299,97,7.66,3,0.38
298,98,8.03,2,0.34
301,97,7.88,2,0.44
303,99,7.66,3,0.36
304,100,7.84,4,0.42
306,100,8,2,0.48
331,120,8.96,3,0.86
332,119,9.24,4,0.9
323,113,8.88,3,0.79
322,107,8.46,3,0.71
312,105,8.12,2,0.64
314,106,8.25,2,0.62
317,104,8.47,2,0.57
326,112,9.05,3,0.74
316,110,8.78,3,0.69
329,111,9.18,4,0.87
338,117,9.46,4,0.91
331,116,9.38,5,0.93
304,103,8.64,5,0.68
305,108,8.48,5,0.61
321,109,8.68,4,0.69
301,107,8.34,3,0.62
320,110,8.56,2,0.72
311,105,8.45,3,0.59
310,106,9.04,4,0.66
299,102,8.62,3,0.56
290,104,7.46,4,0.45
296,99,7.28,2,0.47
327,104,8.84,5,0.71
335,117,9.56,5,0.94
334,119,9.48,5,0.94
310,106,8.36,4,0.57
308,108,8.22,3,0.61
301,106,8.47,4,0.57
300,100,8.66,3,0.64
323,113,9.32,3,0.85
319,112,8.71,3,0.78
326,112,9.1,3,0.84
333,118,9.35,5,0.92
339,114,9.76,5,0.96
303,105,8.65,5,0.77
309,105,8.56,5,0.71
323,112,8.78,5,0.79
333,113,9.28,5,0.89
314,109,8.77,4,0.82
312,103,8.45,3,0.76
316,100,8.16,2,0.71
326,116,9.08,2,0.8
318,109,9.12,1,0.78
329,110,9.15,2,0.84
332,118,9.36,2,0.9
331,115,9.44,5,0.92
340,120,9.92,4,0.97
325,112,8.96,2,0.8
320,113,8.64,2,0.81
315,105,8.48,3,0.75
326,114,9.11,3,0.83
339,116,9.8,4,0.96
311,106,8.26,2,0.79
334,114,9.43,4,0.93
332,116,9.28,5,0.94
321,112,9.06,5,0.86
324,105,8.75,3,0.79
